iter	TotalF1	MultiClass
0	0.9869190364	1.241962482
1	0.991761879	1.015504297
2	0.9916365518	0.8557047284
3	0.9925284948	0.7335152169
4	0.9926797951	0.6347355757
5	0.9924216447	0.5538814375
6	0.9929893754	0.4869334399
7	0.993747343	0.4305246882
8	0.9936490109	0.3829092981
9	0.9941624325	0.3413692616
10	0.994092285	0.3055136254
11	0.994025631	0.2742978892
12	0.9941457963	0.2468101153
13	0.9942361945	0.2222803101
14	0.9942137388	0.2010238057
15	0.9951021394	0.1816622969
16	0.9949730105	0.1646590327
17	0.9952187367	0.1492850949
18	0.9955169119	0.1355329518
19	0.9957810427	0.1231305148
20	0.9959386281	0.1121837754
21	0.996034514	0.1023940249
22	0.9961383661	0.09378606147
23	0.99615957	0.08592973832
24	0.9963613468	0.07883899375
25	0.9964335222	0.07247798833
26	0.9966762989	0.06689276337
27	0.9968875471	0.06151492384
28	0.9969304384	0.05680311903
29	0.9969718366	0.05248773013
30	0.9969295191	0.04871644132
31	0.9969812206	0.04463096444
32	0.9970116488	0.04107116535
33	0.9970441533	0.03810871352
34	0.9971279469	0.03543636314
35	0.9971586465	0.03295687183
36	0.997211224	0.03082299469
37	0.9973062907	0.02865952628
38	0.9973796024	0.02677046869
39	0.9974111294	0.02509630901
40	0.9974738514	0.02350536056
41	0.9975992068	0.02200835082
42	0.9976303869	0.02067901033
43	0.9978295978	0.01941173515
44	0.9979240225	0.01829366623
45	0.9979763857	0.01734777146
46	0.9980182077	0.01655913968
47	0.9980812668	0.01562599744
48	0.9981335036	0.01494514485
49	0.9983215645	0.01429704206
50	0.9984362265	0.01350561466
51	0.9984677542	0.01278118489
52	0.998478195	0.01220992417
53	0.9984988958	0.01167907907
54	0.9985514257	0.01114288824
55	0.9985514257	0.01065023371
56	0.9985512786	0.01026382147
57	0.9985932619	0.009868257289
58	0.9986557296	0.009539736727
59	0.9986871296	0.009209663252
60	0.9987079858	0.008805400048
61	0.998739195	0.008442433669
62	0.9987704566	0.008135786069
63	0.9987601023	0.007865757102
64	0.9987809503	0.007624598294
65	0.9988435543	0.00738961348
66	0.9988436021	0.007165148198
67	0.9988331208	0.006948413
68	0.9988436021	0.006776196942
69	0.9988644457	0.006591060069
70	0.9989268048	0.006413752598
71	0.9989267445	0.006227168505
72	0.9989476536	0.006055376569
73	0.9989686041	0.005890300949
74	0.9989790342	0.005764338419
75	0.9989790504	0.005619921718
76	0.9990207417	0.005513914579
77	0.9990312146	0.00538275623
78	0.9990209034	0.005250461936
79	0.9990522057	0.005146017335
80	0.9990626226	0.005018459831
81	0.9990730901	0.00492866152
82	0.999073139	0.00483245244
83	0.999083603	0.004752095302
84	0.999083603	0.004695919379
85	0.9990940652	0.00462500422
86	0.999083603	0.004559783309
87	0.9991044842	0.00448745906
88	0.9991251761	0.004376125423
89	0.9991251761	0.00430292167
90	0.9991461008	0.004244523004
91	0.9991461008	0.004180777634
92	0.9991774016	0.004101988117
93	0.9991981458	0.004022510671
94	0.9991981458	0.003978014304
95	0.9991981458	0.003943140948
96	0.9992293521	0.003899148784
97	0.9992189768	0.003847037367
98	0.9992293521	0.003799821479
99	0.9992397703	0.003758867931
100	0.9992293521	0.003731261982
101	0.9992397703	0.003692373358
102	0.9992293528	0.003669725773
103	0.9992501469	0.003610429465
104	0.9992397378	0.003580105385
105	0.9992502293	0.003548423618
106	0.9992502293	0.003508998356
107	0.999281367	0.003469324888
108	0.999281367	0.003428911355
109	0.999302166	0.003386074791
110	0.999302166	0.003369056536
111	0.999302166	0.003341998055
112	0.999302166	0.003317409853
113	0.999291759	0.003272142183
114	0.999291759	0.003253013222
115	0.999291759	0.003236049489
116	0.9993021421	0.003222804114
117	0.9993021421	0.003197234077
118	0.9993125939	0.003161048695
119	0.9993334283	0.00309794536
120	0.9993334283	0.003070861262
121	0.9993542835	0.003041323991
122	0.99936473	0.002995276524
123	0.9993438766	0.00297769518
124	0.9993751535	0.002944419327
125	0.9993647679	0.002909510381
126	0.9993647679	0.002850135965
127	0.9993647679	0.002826145985
128	0.9993751855	0.002796315695
129	0.9993751855	0.002778716195
130	0.9993648012	0.002761222715
131	0.9993751855	0.002733420693
132	0.9993856286	0.002706076018
133	0.9994064859	0.002686219397
134	0.9994064859	0.002666094836
135	0.9994064859	0.002659492125
136	0.9994064859	0.002641770506
137	0.9993960445	0.002624678437
138	0.9994064859	0.002611170667
139	0.9994064859	0.002572940713
140	0.9994064859	0.002543366078
141	0.9994064859	0.002535440602
142	0.9994064859	0.002498008992
143	0.9994168716	0.00247239978
144	0.9994168716	0.002455428954
145	0.9994168716	0.002449908418
146	0.9994064859	0.002445335976
147	0.9994272585	0.002426873512
148	0.9994272585	0.002404447349
149	0.9994376824	0.002386037397
150	0.9994376824	0.002380840013
151	0.9994376824	0.00236266609
152	0.9994480892	0.002342430884
153	0.999468917	0.002313814293
154	0.999468917	0.002293444783
155	0.999468917	0.002277991692
156	0.999468917	0.002268781184
157	0.999468917	0.002250899672
158	0.999468917	0.002245645071
159	0.9994793255	0.002229586917
160	0.9994793255	0.002224970429
161	0.9995001529	0.002201056988
162	0.9995209497	0.002187400552
163	0.9995313877	0.002180044596
164	0.9995522268	0.002164912755
165	0.9995730552	0.002145148449
166	0.9995626188	0.00212779787
167	0.9995626188	0.002123947501
168	0.9995730552	0.002117925287
169	0.9995730552	0.002099568268
170	0.9995730552	0.002084353987
171	0.9995730552	0.002065108529
172	0.9995730552	0.00204924917
173	0.9995730552	0.002036078358
